title,url,category,technologies,english,experience
"Backend Developer (Poland)
          

          

          
  
      до $7000",https://djinni.co/jobs/490689-backend-developer-poland-/,Python,"['Backend development', 'back-end', 'backend', 'middle developer', 'Python']",Upper-Intermediate,3
Senior Python Backend Engineer,https://djinni.co/jobs/290221-senior-python-backend-engineer/,Python,"['Python', 'SW design', 'Kubernetes', 'Docker', 'Microservices', 'CI', 'CD', 'AWS']",Intermediate,5
Middle/Senior Python Developer,https://djinni.co/jobs/490648-middle-senior-python-developer/,Python,,Upper-Intermediate,3
"Middle Full-Stack Developer (for Ukrainian Catholic University)
          

          

          
  
      до $1500",https://djinni.co/jobs/490612-middle-full-stack-developer-for-ukrainian-cat/,Python,"['Python', 'Django', 'edX', 'JavaScript']",Intermediate,1
"Senior AI Engineer
          

          

          
  
    
      $6500",https://djinni.co/jobs/490607-senior-ai-engineer/,Python,['AI'],Upper-Intermediate,5
Full Stack Developer,https://djinni.co/jobs/490604-full-stack-developer/,Python,"['Python', 'JavaScript', 'NodeJS', 'React', 'React.js']",Intermediate,5
Python Dev,https://djinni.co/jobs/416316-python-dev/,Python,"['Python', 'Django']",,3
Senior/Lead Python Developer (Poland - Krakow),https://djinni.co/jobs/490602-senior-lead-python-developer-poland-krakow-/,Python,"['Python', 'Django', 'Python', 'Python3', 'GCP', 'GCP', 'AWS']",Upper-Intermediate,5
"Smart Contract Developer (Python)
          

          

          
  
    
      $3500-4500",https://djinni.co/jobs/490575-smart-contract-developer-python-/,Python,"['Python', 'Django', 'Blockchain', 'Blockchain and Cryptocurrency']",Upper-Intermediate,3
"Python Engineer + relocation to Europe
          

          

          
  
    
      $3500-6000",https://djinni.co/jobs/490520-python-engineer-relocation-to-europe/,Python,"['Algorithms and Data Structures', 'Multithreading', 'Concurrency']",Upper-Intermediate,5
Senior Perl Developer,https://djinni.co/jobs/490501-senior-perl-developer/,Python,"['Perl', 'Python', 'SQL']",Upper-Intermediate,5
CyVers - Senior Back End Engineer (Python),https://djinni.co/jobs/490488-cyvers-senior-back-end-engineer-python-/,Python,['Python'],Intermediate,3
CyVers - Middle Back End Engineer (Python),https://djinni.co/jobs/490485-cyvers-middle-back-end-engineer-python-/,Python,['Python'],Intermediate,3
Senior Software Engineer (Python),https://djinni.co/jobs/490462-senior-software-engineer-python-/,Python,,Intermediate,5
Middle Fullstack (Python+React.js) Developer,https://djinni.co/jobs/490451-middle-fullstack-python-react-js-developer/,Python,"['Python', 'React', 'Redis', 'Docker']",Intermediate,2
"Full-Stack (Python/Javascript) Engineer
          

          

          
  
    
      $8000",https://djinni.co/jobs/490000-full-stack-python-javascript-engineer/,Python,"['Full Stack', 'Python', 'React', 'AWS']",Upper-Intermediate,5
Python Developer - Middle / Senior - France,https://djinni.co/jobs/85261-python-developer-middle-senior-france/,Python,"['Python', 'Django']",Intermediate,3
Middle Python Developer,https://djinni.co/jobs/489877-middle-python-developer/,Python,"['Python', 'AWS', 'Postgre SQL', 'MySQL', 'PostgreSQL', 'Django', 'REST API', 'GIT']",Upper-Intermediate,3
Technical Lead Java/Python,https://djinni.co/jobs/489847-technical-lead-java-python/,Python,"['Python', 'Java', 'ActiveVian', 'Cloud solutions', 'BigData architecture']",Advanced/Fluent,5
Python Developer,https://djinni.co/jobs/489845-python-developer/,Python,,Intermediate,3
"Middle/Senior Python Developer
          

          

          
  
    
      $3000-6000",https://djinni.co/jobs/489781-middle-senior-python-developer/,Python,,Intermediate,3
Senior/Lead Python Engineer for US Medical Product,https://djinni.co/jobs/489724-senior-lead-python-engineer-for-us-medical-pr/,Python,"['Python', 'Django', 'AWS']",Intermediate,5
Python Engineer,https://djinni.co/jobs/259472-python-engineer/,Python,"['Python', 'AWS Lambda', 'AWS']",Intermediate,3
Technical Lead Java/Python,https://djinni.co/jobs/489708-technical-lead-java-python/,Python,"['Java', 'Python', 'ActiveViam', 'Cloud solutions', 'BigData architecture']",Advanced/Fluent,5
Middle/Middle+ Python developer (Romania only),https://djinni.co/jobs/489659-middle-middle-python-developer-romania-only-/,Python,"['Python', 'Django', 'Romania']",Upper-Intermediate,2
"Python Developer
          

          

          
  
    
      $4000-6000",https://djinni.co/jobs/489642-python-developer/,Python,['Python'],Intermediate,3
Python Developer,https://djinni.co/jobs/408292-python-developer/,Python,,Intermediate,3
Middle/Senior Python Engineer (product),https://djinni.co/jobs/489578-middle-senior-python-engineer-product-/,Python,"['Python', 'Django']",Upper-Intermediate,2
"Senior Python Engineer, Tech Lead",https://djinni.co/jobs/464284-senior-python-engineer-tech-lead/,Python,,,5
Senior Python Engineer,https://djinni.co/jobs/489528-senior-python-engineer/,Python,['Python'],Upper-Intermediate,3
Python/Django backend developer,https://djinni.co/jobs/178782-python-django-backend-developer/,Python,"['Python', 'Django']",Intermediate,1
Middle Python Back-end Developer,https://djinni.co/jobs/489358-middle-python-back-end-developer/,Python,"['Python', 'Docker Compose', 'DRF']",Intermediate,3
Python Technical Lead,https://djinni.co/jobs/464144-python-technical-lead/,Python,"['Python', 'Technical Leadership', 'leadership', 'Flask']",Upper-Intermediate,5
"Senior Python Developer, Financial Software Solutions",https://djinni.co/jobs/489350-senior-python-developer-financial-software-so/,Python,['Python'],Intermediate,3
Python Team Lead,https://djinni.co/jobs/489349-python-team-lead/,Python,"['Python', 'SQL', 'AWS']",Intermediate,5
Strong Middle Python Developer (AWS),https://djinni.co/jobs/475714-strong-middle-python-developer-aws-/,Python,"['Python', 'SQL', 'AWS']",Intermediate,3
Middle Python Developer,https://djinni.co/jobs/489295-middle-python-developer/,Python,"['Python', 'Django']",Upper-Intermediate,2
Python developer,https://djinni.co/jobs/489172-python-developer/,Python,"['Python', 'sql', 'postgresql']",,3
"Python Developer for a big delivery company Bringg
          

          

          
  
      до $6000",https://djinni.co/jobs/489170-python-developer-for-a-big-delivery-company-b/,Python,"['Python', 'Python3', 'PostgreSQL', 'REST API']",Upper-Intermediate,3
"Str.Middle/Senior Python Developer 2037/03
          

          

          
  
      до $5500",https://djinni.co/jobs/489155-str-middle-senior-python-developer-2037-03/,Python,"['MySQL', 'Pyramid', 'Python']",Beginner/Elementary,3
Senior Python Developer with Spark and SQL,https://djinni.co/jobs/489123-senior-python-developer-with-spark-and-sql/,Python,"['Python', 'Spark', 'SQL', 'Kafka', 'Hadoop']",Intermediate,5
Python Developer,https://djinni.co/jobs/489108-python-developer/,Python,"['Python', 'Django', 'FastAPI', 'asyncio', 'aiohttp', 'CI', 'CD', 'Docker', 'Docker Compose', 'CouchDB']",Pre-Intermediate,3
Senior/Lead Python Developer (Krakow),https://djinni.co/jobs/489107-senior-lead-python-developer-krakow-/,Python,"['Python', 'GCP', 'Python3']",Upper-Intermediate,5
Python Developer,https://djinni.co/jobs/469731-python-developer/,Python,"['Python', 'Django', 'MySQL', 'PostgreSQL', 'MondoDB']",Intermediate,1
Middle/Senior Backend Python Developer,https://djinni.co/jobs/471240-middle-senior-backend-python-developer/,Python,"['Python', 'Django', 'Redis', 'MySQL', 'API']",Intermediate,3
Senior Python Software Developer,https://djinni.co/jobs/470575-senior-python-software-developer/,Python,"['Python', 'AWS', 'SQL', 'NoSQL', 'Blockchain', 'Microservices', 'Terraform', 'K8s']",Intermediate,5
Python Developer,https://djinni.co/jobs/484236-python-developer/,Python,"['Python', 'back-end', 'Java', 'Google Cloud Platform', 'CI', 'CD', 'NoSQL', 'RESTful API']",Pre-Intermediate,3
Python Developer,https://djinni.co/jobs/484207-python-developer/,Python,"['Python', 'Backend development', 'junior', 'lutsk', 'Django']",Intermediate,1
High Scale python developer,https://djinni.co/jobs/340777-high-scale-python-developer/,Python,"['Django', 'Django Rest Framework', 'GoLang', 'Go', 'Celery', 'MySQL', 'Postgres', 'Google BigQuery', 'GCP']",,2
